Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	task	duration
1436445792908398.0	(-17.4955084806, 60.7607945507, 558.144620903)	(0.581180065506, 0.196606346487, 0.360481974284)	(-5.30783843046, 159.706835328, 44.6876237721)	(0.484296336004, 0.499973278622)	4.80	0	(40.4760921987, 62.2832828082, 553.816228453)	(0.402336031219, 0.186540731251, 0.346054077148)	(0.609778039719, 155.838484874, 43.2027397569)	(0.501804077041, 0.515095837082)	3.90	0		
1436445792925015.0	(-17.5080495077, 60.7526464828, 558.125535176)	(0.581219710261, 0.196639023216, 0.360418497721)	(-6.40911813251, 160.154299198, 44.8593848251)	(0.481038112034, 0.498224006262)	4.80	0	(40.4663190328, 62.2867184481, 553.843337924)	(0.402371014816, 0.186537629231, 0.346144409179)	(-0.401664617047, 154.765570977, 42.79089685)	(0.498811643145, 0.519290183827)	3.91	0		
1436445792941644.0	(-17.5252079086, 60.7450015455, 558.081780142)	(0.581275078144, 0.196655638737, 0.360272623698)	(-6.69575628044, 160.717605291, 45.0756124454)	(0.480190070176, 0.496021871419)	4.81	0	(40.4605705546, 62.3045008086, 553.997427352)	(0.40241595228, 0.186529637566, 0.346658121745)	(-1.43573305965, 155.49497802, 43.0708830797)	(0.495752269054, 0.516438709851)	3.94	0		
1436445792958393.0	(-17.5440008887, 60.7456758416, 558.09891848)	(0.581331759965, 0.196661233972, 0.360329793294)	(-6.21577892973, 159.849599021, 44.7424242684)	(0.481610121509, 0.499415171927)	4.82	0	(40.4469834119, 62.3119412357, 554.033636143)	(0.402464334989, 0.186510331157, 0.346778767904)	(-0.395511029365, 155.31807443, 43.0029778275)	(0.498829849025, 0.517130279789)	3.95	0		
1436445792975018.0	(-17.5639256561, 60.746214145, 558.097973658)	(0.581393040166, 0.196657740098, 0.360326538086)	(-7.67709463419, 160.019073089, 44.8074776645)	(0.477286702266, 0.498752646252)	4.87	0	(40.4297370998, 62.3173166233, 554.07580421)	(0.402525042145, 0.186505328994, 0.346919352213)	(-0.691380320714, 158.514835883, 44.2300693329)	(0.497954496092, 0.504633166994)	3.93	0		
1436445792991640.0	(-17.5826933561, 60.7494669306, 558.135295288)	(0.58144840464, 0.196660632605, 0.360451049805)	(-7.14564985066, 161.749076099, 45.4715472328)	(0.47885902411, 0.491989538316)	4.84	0	(40.4077485272, 62.3139980899, 554.086370173)	(0.402594782938, 0.18652875358, 0.346954549153)	(-1.18250750465, 155.087593293, 42.9145065888)	(0.496501457087, 0.518031300654)	3.96	0		
1436445793008266.0	(-17.5975017394, 60.7480689673, 558.152138159)	(0.581492838501, 0.196677056442, 0.360507202148)	(-7.3116519932, 160.388504431, 44.9492855748)	(0.478367893511, 0.497308426776)	4.85	0	(40.3846700615, 62.296581824, 553.978149494)	(0.402646978651, 0.18656037281, 0.34659383138)	(0.967554050244, 156.541768073, 43.4726982295)	(0.502862585947, 0.512346489159)	3.98	0		
1436445793024889.0	(-17.6019519513, 60.7408312724, 558.138710001)	(0.581507288297, 0.196708039025, 0.360462443034)	(-7.74159570375, 161.213602644, 45.2660032981)	(0.477095870699, 0.49408286691)	4.87	0	(40.374324496, 62.280155947, 554.026422409)	(0.402687246517, 0.186674760541, 0.346754760742)	(2.20007761431, 158.576035889, 44.2535612353)	(0.506509105368, 0.504393917555)	3.99	0		
1436445793041640.0	(-17.6026492754, 60.7388865104, 558.148934126)	(0.581508777175, 0.196723862595, 0.360496419271)	(-7.4997096524, 159.424674112, 44.5793148986)	(0.477811509904, 0.501076332635)	4.87	0	(40.3837644398, 62.2743771107, 553.937564833)	(0.402642483457, 0.18665563387, 0.346458536784)	(0.50550565037, 156.614902205, 43.5007711004)	(0.501495578847, 0.512060585595)	3.99	0		
1436445793058263.0	(-17.5985025655, 60.7385837986, 558.134088642)	(0.581496960587, 0.196717447863, 0.360446980794)	(-6.569384224, 161.598920283, 45.4139092362)	(0.480563952, 0.492576543067)	4.90	0	(40.3910946169, 62.2673803241, 553.878211897)	(0.402609385208, 0.186659544165, 0.346260782877)	(-0.0425428720707, 154.889323823, 42.8383999462)	(0.499874133514, 0.518806396311)	3.99	0		
1436445793074889.0	(-17.589421995, 60.7397355042, 558.10655771)	(0.581470787417, 0.196696497037, 0.360355224609)	(-6.75155644881, 162.430036459, 45.7329369816)	(0.48002498092, 0.489327457158)	4.89	0	(40.4056377409, 62.2654310049, 553.970868618)	(0.402580665219, 0.186722069613, 0.346569620768)	(0.887489263192, 157.59314602, 43.8762744633)	(0.502625707879, 0.508236332995)	4.01	0		
1436445793091511.0	(-17.5859405267, 60.7459224343, 558.106880059)	(0.581460121711, 0.196663962701, 0.360356241862)	(-8.54631997486, 163.282892036, 46.0603094959)	(0.47471502966, 0.485993385315)	4.90	0	(40.4246468711, 62.2580376629, 553.848259261)	(0.402500391903, 0.186692638458, 0.346160888672)	(-2.36131299241, 153.148669937, 42.1702419904)	(0.493013866886, 0.525611141761)	4.04	0		
1436445793108263.0	(-17.6009483385, 60.7678947403, 558.189292392)	(0.58150127343, 0.196592291201, 0.360630900065)	(-6.3003533617, 162.651451479, 45.8179281497)	(0.481359901297, 0.488461878503)	4.92	0	(40.4487531343, 62.2810018983, 553.91718445)	(0.402438190507, 0.186609412733, 0.34639058431)	(-1.34170608758, 153.433741084, 42.2796678541)	(0.496030455362, 0.524496711945)	4.06	0		
1436445793124885.0	(-17.6074204771, 60.8430996034, 558.314584111)	(0.581513960172, 0.196262406426, 0.361048583984)	(-7.46979367615, 162.10826907, 45.6094250975)	(0.47790001871, 0.490585343747)	4.94	0	(40.4644338098, 62.3431285485, 554.032114797)	(0.402410428553, 0.186343782969, 0.346773681641)	(0.439671168243, 158.117225514, 44.077444774)	(0.501300802273, 0.506187546858)	4.06	0		
1436445793141509.0	(-17.601906111, 60.9320137737, 558.442404543)	(0.581489786746, 0.195861625354, 0.361474609375)	(-5.23744909872, 167.451719592, 47.6605330209)	(0.484504588465, 0.469696170477)	4.95	0	(40.4964837316, 62.4436980393, 554.020297313)	(0.402310205722, 0.185802646883, 0.34673441569)	(3.02068638304, 161.654186883, 45.4351235734)	(0.508936941962, 0.492360489119)	4.05	0		
1436445793158140.0	(-17.5912471704, 61.0896103659, 558.653318345)	(0.581445216917, 0.195143178567, 0.362177734375)	(-2.15864241117, 154.76972497, 42.7924913792)	(0.49361348399, 0.519273944606)	4.73	0	(40.5631405354, 62.5665865099, 554.435433841)	(0.402178264716, 0.185383849541, 0.348118082682)	(5.19299133016, 169.189207338, 48.3274756391)	(0.515363879675, 0.462903802433)	4.04	0		
1436445793174753.0	(-17.6077439513, 61.1764074685, 558.628865177)	(0.581498099543, 0.19467096022, 0.362096150716)	(5.25481449047, 121.739602581, 30.1137278241)	(0.515546788433, 0.648398738933)	4.40	0	(40.6018663375, 62.6815099778, 554.584753237)	(0.402085912484, 0.184857801797, 0.348615926107)	(6.76950057678, 168.344532532, 48.0032433513)	(0.520028108215, 0.466205893153)	4.05	0		
1436445793191506.0	(-17.6287757065, 61.2701227993, 558.703377977)	(0.581558792565, 0.194216101331, 0.362344563802)	(4.32795092366, 120.705311589, 29.7167104962)	(0.512804588531, 0.652442096994)	4.30	0	(40.5972196927, 62.747940896, 554.519398728)	(0.40208933949, 0.184467978641, 0.348398030599)	(8.46303668874, 167.164104784, 47.5501307613)	(0.525038570085, 0.470820544237)	3.99	0		
1436445793208137.0	(-17.6423800203, 61.271441147, 558.603140986)	(0.581606826505, 0.194154345784, 0.362010498047)	(6.63793486127, 131.375969577, 33.8126913713)	(0.519638860536, 0.610727249503)	4.36	0	(40.6075087673, 62.7526293932, 554.458487819)	(0.402046913687, 0.184408723203, 0.348194986979)	(8.85627216169, 179.394150574, 52.2446897767)	(0.526201988644, 0.42300957555)	4.12	0		
