Timestamp	soundtime	trialvec	LeftPupil	RightPupil
1374603148836039			4.007797241	4.049835205
1374603148852789			4.013534546	4.066452026
1374603148869426			4.007202148	4.065307617
1374603148886037			4.006408691	4.06338501
1374603148902660			4.022033691	4.060928345
1374603148919284			4.028167725	4.058578491
1374603148936034			4.038208008	4.054443359
1374603148952658			4.034469604	4.051132202
1374603148969282			4.038330078	4.040969849
1374603148985907			4.033859253	4.056167603
1374603149002657			4.023864746	4.053268433
1374603149019281			4.032150269	4.041854858
1374603149035906			4.042984009	4.054840088
1374603149052532			4.045974731	4.06539917
1374603149069296			4.037322998	4.07194519
1374603149085901			4.048690796	4.059356689
1374603149102527			4.049942017	4.070083618
1374603149119151			4.042831421	4.069076538
1374603149135775			4.030471802	4.079086304
1374603149152525			4.03036499	4.062103271
1374603149169149			4.025756836	4.082931519
1374603149185774			4.024368286	4.083679199
1374603149202401			4.005661011	4.093963623
1374603149219148			4.011886597	4.101760864
1374603149235772			4.022232056	4.085723877
1374603149252397			4.039489746	4.095077515
1374603149269020			4.018554688	4.085952759
1374603149285644			4.021133423	4.082305908
1374603149302394			4.006149292	4.088195801
1374603149319018			4.014328003	4.084533691
1374603149335642			4.021682739	4.075241089
1374603149352267			4.014480591	4.069625854
1374603149369017			4.009780884	4.065811157
1374603149385641			4.012283325	4.065460205
1374603149402266			4.017974854	4.053833008
1374603149418890			4.016784668	4.053039551
1374603149435514			4.013259888	4.050079346
1374603149452262			4.010894775	4.054321289
1374603149468886			3.996704102	4.056793213
1374603149485511			4.010940552	4.041000366
1374603149502134			3.990890503	4.039703369
1374603149518884			3.985824585	4.033111572
1374603149535508			3.968704224	4.024368286
1374603149552134			3.959945679	4.019897461
1374603149568758			3.94972229	3.999282837
1374603149585507			3.924804688	3.987060547
1374603149602132			3.888519287	3.956954956
1374603149618756			3.869598389	3.946685791
1374603149635379			3.856628418	3.931716919
1374603149652003			3.820281982	3.915756226
1374603149668753			3.812744141	3.89125061
1374603149685377			3.783004761	3.86390686
1374603149702001			3.770080566	3.8644104
1374603149718627			3.745269775	3.8384552
1374603149735376			3.716537476	3.832000732
