Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	task	soundtime	presstime	cuetime	correct	choice	iti_mean	iti_range	trialvec
1435667852845087.0	(-18.4123754088, 23.1603638002, 598.623646408)	(0.58118188579, 0.403347855384, 0.495412190755)	(-2.77433070443, 155.430816414, 43.0462543537)	(0.491791920993, 0.516689537084)	3.92	0	(39.446791357, 22.7124101854, 594.956669892)	(0.411879173529, 0.40489761024, 0.483188883464)	(-6.73529864842, 152.542294323, 41.9374819372)	(0.480073080922, 0.527981648465)	4.08	0		1435667968221252	1435667968221245	1435667967894364	1	left			
1435667852861715.0	(-18.4530203291, 23.1127377685, 598.549892622)	(0.581304394936, 0.403570396558, 0.495166219075)	(-3.09074730108, 157.222121995, 43.7338551941)	(0.490855777216, 0.509686778754)	3.93	0	(39.3736510113, 22.6958515917, 594.737026065)	(0.412059469488, 0.404940596881, 0.482456665039)	(-4.26962981352, 152.821973628, 42.0448381179)	(0.487367959131, 0.526888296997)	4.09	0		1435667972836899	1435667972836892	1435667972425499	0	left			
1435667852878459.0	(-18.510289742, 23.0971314537, 598.480437814)	(0.581475413115, 0.403635162096, 0.494934692383)	(-3.16960122052, 154.607453369, 42.7302026831)	(0.490622481596, 0.519908313646)	3.97	0	(39.3201339962, 22.6937165456, 594.79553317)	(0.412225298808, 0.404961714834, 0.482651774088)	(-3.5007208396, 151.837152907, 41.6668101797)	(0.489642837753, 0.530738260722)	4.10	0		1435667977604183	1435667977604175	1435667976923312	0	left			
1435667852895079.0	(-18.5462734928, 23.0977354389, 598.726375062)	(0.581565799558, 0.403676576322, 0.495754597982)	(-1.83861501783, 155.162068881, 42.9430943838)	(0.494560310598, 0.51774015293)	3.94	0	(39.3049896613, 22.6995637058, 595.028494868)	(0.412305570066, 0.404974383393, 0.483428344726)	(-2.51265352822, 153.516797007, 42.3115492497)	(0.492566113822, 0.524172021084)	4.10	0		1435667981043826	1435667981043819	1435667980788109	1	right			
1435667852911707.0	(-18.5607047091, 23.0811762136, 598.795688302)	(0.581603640864, 0.40377106999, 0.495985717773)	(-0.203512816012, 157.259591706, 43.7482381144)	(0.499397891077, 0.509540298255)	3.96	0	(39.3018120179, 22.6963156475, 595.141792807)	(0.412332276997, 0.405010819204, 0.483805948893)	(-3.56548425711, 150.119415328, 41.0074487533)	(0.489451230008, 0.537453419357)	4.12	0		1435667986155202	1435667986155194	1435667985552506	1	right			
1435667852928337.0	(-18.5630543271, 23.0608030904, 598.781591649)	(0.581611169014, 0.403869397534, 0.495938720703)	(-1.96772934628, 153.704995491, 42.3837900986)	(0.494178315543, 0.523436295971)	3.99	0	(39.3002869869, 22.6831952896, 595.193071164)	(0.412344522733, 0.405085208716, 0.483976847331)	(-1.85193195667, 152.585712639, 41.9541482564)	(0.494520911371, 0.527811913062)	4.11	0		1435667989194824	1435667989194817	1435667988884187	1	right			
1435667852945082.0	(-18.541055536, 23.0205695265, 598.749622172)	(0.581548606516, 0.40406284255, 0.49583211263)	(-0.539449982463, 156.296659703, 43.3786122604)	(0.498403994135, 0.513304692327)	3.98	0	(39.3082054198, 22.6504388626, 595.108068531)	(0.412307994706, 0.405232822072, 0.483693644206)	(-4.08343614528, 150.252715423, 41.0586166043)	(0.487918827972, 0.536932308745)	4.15	0									
1435667852961709.0	(-18.4859800618, 22.9858381944, 598.902285476)	(0.581378734153, 0.404262203341, 0.496340942383)	(-2.57497705923, 154.628003602, 42.7380909839)	(0.492381724677, 0.519827976536)	4.02	0	(39.3405011599, 22.5825471531, 595.016707181)	(0.412198782927, 0.405554008174, 0.483389078776)	(-3.34332089057, 152.638645735, 41.9744668674)	(0.490108518075, 0.52760498149)	4.11	0									
1435667852978329.0	(-18.4341806683, 22.9591659566, 598.820304433)	(0.581232338133, 0.404379523082, 0.496067708333)	(-4.47061882507, 154.913056654, 42.8475099016)	(0.486773317085, 0.51871361746)	4.03	0	(39.4230983785, 22.5438332867, 595.211989152)	(0.411986614722, 0.405781181236, 0.484039916992)	(-4.59010722965, 151.597760739, 41.574918401)	(0.486419801096, 0.531674117517)	4.15	0									
1435667852994953.0	(-18.3909388254, 22.9616270151, 598.834097742)	(0.581105472205, 0.404369803035, 0.496113688151)	(-3.01571557726, 155.057277877, 42.9028698777)	(0.491077764564, 0.518149812836)	4.00	0	(39.4677390639, 22.5307779688, 595.185181332)	(0.411851625631, 0.405841289455, 0.483950602213)	(-2.04525031801, 150.461187489, 41.1386395604)	(0.493948963556, 0.536117328033)	4.16	0									
