Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	task	duration
1461697509152277.0	(-23.6035737844, -10.6419909162, 653.799566239)	(0.619825912016, 0.550673999486, 0.679331868489)	(-5.95733668955, 152.202443526, 48.1450673528)	(0.488405339257, 0.568431546238)	3.38	3	(-23.9854330553, -10.8289650197, 664.523159164)	(0.620271770794, 0.550772987091, 0.715077107747)	(-106.050534486, 166.22757454, 53.8313262762)	(0.293595689984, 0.516235301301)	3.47	1		
1461697509160633.0	(-23.9200235518, -10.7852809742, 664.447815241)	(0.620067241789, 0.550533740496, 0.714826049805)	(-8.51016958829, 159.063399102, 50.9267290589)	(0.483436805005, 0.542897658721)	3.44	3	(-23.9396836173, -10.7976727909, 664.447807818)	(0.620130362484, 0.550603532234, 0.714826049805)	(-105.704497638, 167.241385912, 54.2423594392)	(0.29426917548, 0.512462277959)	3.48	1		
1461697509168991.0	(-23.8611274881, -10.750080758, 664.396192881)	(0.619881937038, 0.550340018994, 0.714653930664)	(-14.6764827234, 172.769577242, 56.4836737802)	(0.471435417043, 0.491888436017)	3.56	3	(-23.8846561052, -10.7601924102, 664.396185423)	(0.619957406192, 0.550397088721, 0.714653930664)	(-110.669003924, 179.744307365, 59.3114635071)	(0.284606843277, 0.465931122571)	3.59	1		
1461697509177275.0	(-23.8089095699, -10.6957969238, 664.312014426)	(0.619720040091, 0.55004221678, 0.714373372396)	(-10.9076228482, 162.134698411, 52.1719368996)	(0.478770683441, 0.531467441715)	3.52	3	(-23.8384321496, -10.7124258862, 664.312006649)	(0.619814807584, 0.550135938601, 0.714373372396)	(-106.620286456, 170.516856597, 55.5703452092)	(0.292486791639, 0.500272212143)	3.56	1		
1461697509185589.0	(-23.76596603, -10.6480969349, 664.263374952)	(0.619585334459, 0.549778295409, 0.714211222331)	(-12.2353046721, 161.473953938, 51.9040489095)	(0.476186639408, 0.533926483298)	3.50	3	(-23.7920624953, -10.6656470886, 664.263367167)	(0.619669154716, 0.549877137407, 0.714211222331)	(-108.291264621, 170.143443844, 55.4189511439)	(0.289234595911, 0.501661913494)	3.54	1		
1461697509193952.0	(-23.3323675709, -10.4250688195, 652.527933967)	(0.619036154571, 0.549547070486, 0.675093180339)	(-6.89451536188, 162.240984226, 52.2150287368)	(0.486581324714, 0.531071886022)	3.51	3	(-23.7377969849, -10.6169989858, 664.145011013)	(0.619503220986, 0.54961379753, 0.713816731771)	(-107.224152941, 175.559581101, 57.6148350022)	(0.291311496807, 0.481505094527)	3.61	1		
1461697509202306.0	(-23.6552013471, -10.5588756957, 664.1503616)	(0.619237468574, 0.549285989582, 0.713834635417)	(-8.27345943406, 162.55777259, 52.343465374)	(0.48389750986, 0.529892919277)	3.58	3	(-23.6820392294, -10.5702517556, 664.150354054)	(0.619323573349, 0.549350222725, 0.713834431966)	(-104.452371558, 170.161275716, 55.4261807833)	(0.296706166684, 0.501595549997)	3.63	1		
1461697509210662.0	(-23.6014935218, -10.5011989415, 664.044300368)	(0.619072212879, 0.5489707914, 0.713481038411)	(-10.2196397618, 161.412476623, 51.8791239425)	(0.480109692951, 0.534155278662)	3.56	3	(-23.6294161525, -10.5209173916, 664.044292499)	(0.619161935717, 0.549081857602, 0.713481038411)	(-106.131043162, 170.177422815, 55.4327273594)	(0.293438997348, 0.501535456587)	3.60	1		
1461697509218933.0	(-23.5535376393, -10.4559389753, 663.982344407)	(0.618922375613, 0.548721456841, 0.713274536133)	(-14.4158173298, 162.283666035, 52.2323333749)	(0.471942745563, 0.530913040436)	3.60	3	(-23.5785630784, -10.471700206, 663.982336767)	(0.619002763764, 0.548810283151, 0.713274536133)	(-110.310510575, 170.631311391, 55.6167490248)	(0.285304572645, 0.499846254592)	3.64	1		
1461697509227262.0	(-23.5166464448, -10.4199745254, 663.978542031)	(0.618803939205, 0.54851941097, 0.71326171875)	(-11.9169588282, 163.912059153, 52.8925386085)	(0.476806230385, 0.524852775762)	3.57	3	(-23.5363174357, -10.4316090691, 663.978534748)	(0.618867115621, 0.548584999068, 0.71326171875)	(-108.634956649, 171.620043917, 56.0176143817)	(0.288565674097, 0.496166565249)	3.61	1		
1461697509235623.0	(-23.4565290281, -10.3720780936, 663.940036215)	(0.618613412089, 0.548253022936, 0.713133544922)	(-9.92311806677, 156.990183738, 50.0861779547)	(0.480686807967, 0.550613383929)	3.54	3	(-23.4874097009, -10.3880621367, 663.940028379)	(0.618712557279, 0.54834319455, 0.713133341471)	(-105.564616626, 165.674732508, 53.6071855581)	(0.294541423461, 0.518292770716)	3.58	1		
1461697509243975.0	(-23.4118769885, -10.3176000141, 663.87337982)	(0.618474291785, 0.547952306586, 0.712911173503)	(-11.5679127033, 160.086320071, 51.3414555585)	(0.477485572784, 0.539090732894)	3.51	3	(-23.4369809232, -10.3374140791, 663.873371994)	(0.618555006303, 0.548063891942, 0.712911173503)	(-107.747164553, 169.094291833, 54.9935896996)	(0.290293568406, 0.505566461358)	3.55	1		
1461697509252333.0	(-23.0199442592, -10.1158207664, 653.267451443)	(0.617964616474, 0.54771353566, 0.677558186849)	(-3.74750235477, 146.459084672, 45.8165168745)	(0.492706301372, 0.589806160506)	3.52	3	(-23.387670658, -10.2941815535, 663.836635986)	(0.618399006392, 0.547823630506, 0.712788696289)	(-103.875980436, 160.764193776, 51.6162883138)	(0.297827986695, 0.536567942778)	3.62	1		
1461697509260599.0	(-23.3216739136, -10.240866511, 663.823250996)	(0.618187734378, 0.547524523075, 0.712744140625)	(-11.6423569975, 164.158414334, 52.9924192689)	(0.47734068315, 0.523935934745)	3.62	3	(-23.3473127077, -10.2548689834, 663.823243481)	(0.61827007254, 0.54760350665, 0.712744140625)	(-107.629612773, 172.076172008, 56.2025440214)	(0.29052235739, 0.494469028627)	3.66	1		
1461697509268918.0	(-23.2784750866, -10.1987481598, 663.767987375)	(0.61805261226, 0.547292124928, 0.712560017904)	(-9.6599653644, 150.741782801, 47.5528664619)	(0.481198977492, 0.573867574243)	3.59	3	(-23.3098978784, -10.2149545134, 663.767979579)	(0.618153516269, 0.547383573706, 0.712560017904)	(-105.323555422, 159.882090814, 51.2586541617)	(0.295010596687, 0.539850797121)	3.63	1		
1461697509277291.0	(-23.247153318, -10.1594056268, 663.729826966)	(0.61795435337, 0.547074018944, 0.712432657878)	(-6.53486632982, 153.253817457, 48.571329638)	(0.487281303367, 0.564518729227)	3.60	3	(-23.2756944085, -10.1782944142, 663.729819177)	(0.618046074864, 0.547180485307, 0.712432657878)	(-102.72440739, 162.394076492, 52.2770974805)	(0.300069273277, 0.530502134381)	3.65	1		
1461697509285646.0	(-23.2062360683, -10.1198721778, 663.629147495)	(0.617829752445, 0.546859896374, 0.712097167969)	(-6.84260061794, 157.054078321, 50.1120829635)	(0.486682365477, 0.550375592403)	3.60	3	(-23.2344495192, -10.1400766252, 663.629139711)	(0.617920455991, 0.546973759194, 0.712097167969)	(-102.956071033, 166.078934438, 53.7710625892)	(0.299618390359, 0.516788483668)	3.64	1		
1461697509293929.0	(-23.177770264, -10.0930915167, 663.626008911)	(0.617738355986, 0.546709373137, 0.712086791992)	(-9.88876227019, 154.701941402, 49.1584476977)	(0.480753674056, 0.559129358383)	3.59	3	(-23.2076144516, -10.1123770162, 663.626001135)	(0.617834268793, 0.546818102209, 0.712086588542)	(-105.649133102, 163.92697695, 52.8985867843)	(0.294376930514, 0.52479725735)	3.63	1		
1461697509302239.0	(-23.1664982277, -10.0746823593, 663.609936526)	(0.617703081203, 0.546607187654, 0.712033081055)	(-7.6947177186, 150.430657163, 47.4267256842)	(0.485023904791, 0.575025466457)	3.59	3	(-23.1934680235, -10.0911096964, 663.609928863)	(0.617789741794, 0.54669982869, 0.712033081055)	(-104.034362076, 159.573364322, 51.1334860784)	(0.297519731265, 0.540999760617)	3.63	1		
1461697509310599.0	(-23.1597661822, -10.059967016, 663.563811225)	(0.617684521075, 0.546528303476, 0.711879272461)	(-7.60475371427, 165.55913065, 53.5603166842)	(0.485199000167, 0.518722997207)	3.68	3	(-23.1840747342, -10.0766884224, 663.563803628)	(0.617762665415, 0.546622560885, 0.711879272461)	(-103.918351622, 173.453734141, 56.7610539535)	(0.297745520393, 0.489342262222)	3.72	1		
1461697509318956.0	(-23.1515720337, -10.0509686378, 663.542472293)	(0.617659625035, 0.54647942796, 0.711808268229)	(-9.83557840508, 160.888515523, 51.6666925236)	(0.480857184887, 0.536105264149)	3.70	3	(-23.1796022963, -10.0677729207, 663.542464582)	(0.617749695672, 0.546574210713, 0.711808268229)	(-105.634369109, 169.221359855, 55.0451073414)	(0.294405665416, 0.505093562131)	3.74	1		
1461697509327316.0	(-22.783403559, -9.87622576826, 651.916659829)	(0.617289428729, 0.546457884422, 0.673055623372)	(-4.71767898893, 152.612665018, 48.3113849166)	(0.49081806347, 0.566904856649)	3.60	3	(-23.1816956193, -10.0655848811, 663.503060776)	(0.61775914024, 0.546565235271, 0.711676839193)	(-104.793358848, 167.025217933, 54.1547176836)	(0.296042509054, 0.513266773603)	3.70	1		
1461697509335581.0	(-22.699725653, -9.98053034848, 657.785947005)	(0.616608587393, 0.546555772605, 0.692619832357)	(-5.11882422912, 148.790507283, 46.7617538645)	(0.490037321469, 0.581129485364)	3.60	3	(-22.7073491353, -9.98054687188, 657.785947318)	(0.616633171567, 0.546555983946, 0.692619832357)	(-100.560817672, 155.957166252, 49.6673579883)	(0.304280230299, 0.554457885182)	3.64	1		
1461697509343901.0	(-23.2067204824, -10.0595212467, 663.489540278)	(0.617840170104, 0.546532695753, 0.711631876628)	(-11.3919786879, 165.282133208, 53.4480126224)	(0.477827990097, 0.519753877158)	3.72	3	(-23.2255816332, -10.0726200368, 663.489533002)	(0.617900810028, 0.546606538223, 0.711631876628)	(-108.083100844, 172.929010108, 56.5483132162)	(0.289639741448, 0.491295087055)	3.77	1		
1461697509352266.0	(-23.2472243409, -10.07237231, 663.487062822)	(0.61797032047, 0.546605685133, 0.711623535156)	(-4.53221640123, 156.108953319, 49.7288975608)	(0.491179026078, 0.553892990997)	3.68	3	(-23.2653848406, -10.0837718403, 663.487055555)	(0.618028688428, 0.546669975547, 0.711623535156)	(-101.984840953, 164.078251878, 52.9599187183)	(0.301508678565, 0.524234269154)	3.72	1		
1461697509360628.0	(-23.2786269481, -10.0812154288, 663.493808584)	(0.618070595305, 0.546655261423, 0.711646118164)	(-6.40938229339, 145.755840531, 45.5313980926)	(0.487525530764, 0.592423369812)	3.68	3	(-23.3080201056, -10.0984970487, 663.493800775)	(0.618165045296, 0.546752752834, 0.711645914713)	(-102.60615691, 155.254007544, 49.3822738438)	(0.30029942213, 0.55707477654)	3.73	1		
1461697509368982.0	(-23.328817847, -10.0944561874, 663.469998538)	(0.618233300985, 0.546732368043, 0.71156656901)	(-14.3830515882, 161.233384259, 51.8065138861)	(0.472006516956, 0.534821792857)	3.75	3	(-23.3586911261, -10.1128069419, 663.469990715)	(0.618329309125, 0.5468358741, 0.71156656901)	(-109.637565422, 169.882917324, 55.313324947)	(0.286614314087, 0.502631494887)	3.79	1		
1461697509377242.0	(-23.3940753217, -10.1149126306, 663.419069782)	(0.618446335621, 0.546852499662, 0.711396891276)	(-11.0848226061, 148.032291903, 46.4543478971)	(0.478425802635, 0.583951276876)	3.75	3	(-23.4213950971, -10.1349572862, 663.419061939)	(0.618534195055, 0.546965487231, 0.711396891276)	(-107.104599038, 157.749908907, 50.3941960413)	(0.291544182487, 0.547785973551)	3.80	1		
1461697509385586.0	(-23.0323446897, -10.0797796581, 658.190304352)	(0.61765421426, 0.547088680187, 0.693967692057)	(-0.787957458387, 137.923609468, 42.3559486991)	(0.498466412109, 0.621571978162)	3.63	3	(-23.039963269, -10.0797963241, 658.190304667)	(0.617678771302, 0.547088892301, 0.693967692057)	(-96.854059171, 145.774241234, 45.538858355)	(0.311494629874, 0.592354889343)	3.67	1		
1461697509393944.0	(-23.5525721511, -10.1827443301, 663.441072467)	(0.618953692549, 0.547234015233, 0.711470336914)	(-9.77633830296, 148.254558603, 46.5444622786)	(0.480972482867, 0.583124084096)	3.75	3	(-23.571743115, -10.1953732748, 663.441065175)	(0.619015321295, 0.547305230665, 0.711470133464)	(-106.85678057, 157.090270063, 50.1267563107)	(0.292026507259, 0.550240900397)	3.80	1		
1461697509402297.0	(-23.6294678156, -10.207760596, 663.528583708)	(0.619194169284, 0.547368297679, 0.71176188151)	(-9.40166658535, 152.944413916, 48.4458870563)	(0.481701699912, 0.565670212445)	3.78	3	(-23.6583311714, -10.2250753365, 663.528575808)	(0.619286919326, 0.547465964004, 0.71176188151)	(-105.215700702, 161.85134184, 52.0570546337)	(0.295220512452, 0.532521987941)	3.82	1		
1461697509410581.0	(-23.3514965678, -10.0732855991, 652.223473393)	(0.619114642597, 0.547565943094, 0.67407816569)	(-7.36386159144, 135.229485469, 41.2636603909)	(0.485667844314, 0.631598490996)	3.71	3	(-23.7462284595, -10.2569264564, 663.504563657)	(0.619570771257, 0.547648195509, 0.711681925456)	(-107.979061303, 149.791987317, 47.1677874892)	(0.289842231796, 0.577402354606)	3.82	1		
1461697509418901.0	(-23.8185512337, -10.2724204348, 663.537652084)	(0.61980032364, 0.547733501357, 0.711792195638)	(-7.85746643007, 142.982340965, 44.4069282645)	(0.484707149805, 0.602745288558)	3.79	3	(-23.8449720274, -10.2897304333, 663.537644246)	(0.619885247747, 0.547831103215, 0.711792195638)	(-104.283983043, 152.617756003, 48.3134489728)	(0.297033898321, 0.566885909925)	3.84	1		
1461697509427256.0	(-23.9185641162, -10.3053786907, 663.46308868)	(0.620126715165, 0.547926451174, 0.711543579102)	(-11.9910871504, 147.886620243, 46.3952877161)	(0.476661955721, 0.584493411822)	3.84	3	(-23.9453220871, -10.3250701186, 663.4630807)	(0.620212765433, 0.548037442528, 0.711543579102)	(-107.941407185, 157.490982068, 50.2892184091)	(0.289915517352, 0.548749601532)	3.88	1		
1461697509435613.0	(-24.0270920136, -10.3491497179, 663.558588959)	(0.620468124736, 0.548165753822, 0.711861979167)	(-7.73442310958, 140.139355571, 43.2542865496)	(0.484946626879, 0.613325807329)	3.77	3	(-24.05348579, -10.3650910785, 663.558581114)	(0.620552938475, 0.548255668817, 0.711861979167)	(-104.294928383, 149.893684232, 47.2090188322)	(0.297012595596, 0.577023877068)	3.81	1		
1461697509443968.0	(-24.1301321704, -10.3874245473, 663.625411651)	(0.620793910395, 0.548376512239, 0.712084757487)	(-8.80397457141, 143.092426235, 44.4515605287)	(0.482864977479, 0.602335592723)	3.81	3	(-24.157184463, -10.4046456671, 663.625403624)	(0.620880848026, 0.548473614071, 0.712084757487)	(-105.093504413, 152.719352892, 48.3546397618)	(0.295458340964, 0.566507804646)	3.86	1		
1461697509452233.0	(-24.2395039808, -10.4230759532, 663.55925842)	(0.621149756715, 0.54858405375, 0.711864217122)	(-9.42329043595, 140.441898097, 43.3769474458)	(0.481659613788, 0.612199858217)	3.80	3	(-24.2595655937, -10.4378332489, 663.559250768)	(0.62121426572, 0.548667223733, 0.711864217122)	(-106.623854798, 150.067431754, 47.2794619101)	(0.292479846638, 0.576377254359)	3.84	1		
1461697509460598.0	(-24.3448943198, -10.4585438308, 663.63966283)	(0.621481960924, 0.548777877838, 0.712132161458)	(-9.05593754752, 142.458381995, 44.1944977093)	(0.482374586322, 0.604695266116)	3.81	3	(-24.3737990875, -10.4769951202, 663.639654746)	(0.621574851467, 0.548881913819, 0.712132161458)	(-105.143665348, 152.291542721, 48.1811911575)	(0.295360713607, 0.568099952658)	3.85	1		
1461697509468927.0	(-23.9800298785, -10.4257600932, 657.916724577)	(0.62073480124, 0.54908531605, 0.693055826823)	(-9.54519410738, 136.949373217, 41.9609606188)	(0.481422354793, 0.625197717837)	3.79	3	(-23.9876506964, -10.4257773398, 657.916724901)	(0.62075937335, 0.549085532133, 0.693055826823)	(-104.82898386, 144.939217731, 45.2003117962)	(0.295973172714, 0.595462531704)	3.84	1		
1461697509477281.0	(-24.5652240289, -10.5397989047, 663.578795548)	(0.622193655099, 0.549242764918, 0.711929321289)	(-14.4647305507, 144.759594624, 45.1274865586)	(0.471847546612, 0.596131021125)	3.90	3	(-24.591413475, -10.5563385923, 663.578787512)	(0.622277822817, 0.549336036411, 0.711929321289)	(-110.331770835, 154.237470269, 48.9701355084)	(0.285263194172, 0.560857944663)	3.95	1		
1461697509485566.0	(-24.668583188, -10.5757073157, 663.683947925)	(0.622517382923, 0.549436790183, 0.712279866536)	(-8.18266985708, 133.61294563, 40.6082608744)	(0.484074212034, 0.637614642239)	3.83	3	(-24.6969448521, -10.5926048016, 663.683939757)	(0.622608504523, 0.549532090098, 0.712279866536)	(-104.602752853, 143.928568787, 44.7905607875)	(0.296413482185, 0.599223785684)	3.88	1		
1461697509493890.0	(-24.7790028037, -10.6107935026, 663.617812545)	(0.62287668356, 0.549641266247, 0.712059326172)	(-8.46611733278, 133.713458611, 40.649012211)	(0.483522543144, 0.637240570855)	3.90	3	(-24.7985350074, -10.6238084056, 663.61780484)	(0.622939464811, 0.549714640762, 0.712059326172)	(-105.936532653, 143.551606398, 44.6377275809)	(0.293817569767, 0.60062669744)	3.94	1		
