Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	task	soundtime	presstime	iti_mean	iti_range	trialvec
1461697842606699.0	(60.3564057535, -1.96627488308, 651.499909694)	(0.347178391435, 0.500133476344, 0.671666463216)	(98.64597094, 176.862862184, 58.1432289033)	(0.691992936823, 0.476654774157)	3.32	1	(60.3413542438, -1.95624841889, 651.499500979)	(0.347227062281, 0.500076560757, 0.671665039062)	(-4.5445471227, 180.077049168, 59.4463682039)	(0.491155027009, 0.464692783147)	3.36	3		1461697911546573	1461697911957896			0.0
1461697842614979.0	(60.3581915504, -1.9737967564, 651.48487287)	(0.347169058656, 0.500176547281, 0.671616210937)	(99.7545859405, 174.856300362, 57.3297013822)	(0.694150614909, 0.484122440039)	3.33	1	(60.338547353, -1.96203868888, 651.484693814)	(0.347232681928, 0.500109823443, 0.671615600586)	(-3.01157972742, 177.976047053, 58.5945514177)	(0.494138614777, 0.47251192016)	3.36	3		1461697915376892	1461697915807084			0.0
1461697842623311.0	(60.3590405055, -1.98282084809, 651.487185725)	(0.347166960247, 0.500227918156, 0.671623942057)	(96.3822248063, 168.228487491, 54.642563555)	(0.687587047112, 0.508788658389)	3.39	1	(59.2055241536, -1.93279979794, 638.611080589)	(0.347824062506, 0.500161382548, 0.628703613281)	(-9.95777080125, 165.493809407, 53.5338332593)	(0.480619363952, 0.518966098226)	3.36	3		1461697919997666	1461697920463096			1.0
1461697842631651.0	(60.3548071365, -1.99016322471, 651.466164072)	(0.347175734065, 0.500270147348, 0.671553955078)	(97.6334134535, 169.365733266, 55.1036411686)	(0.690022213806, 0.504556258779)	3.40	1	(60.341568824, -1.98072003509, 651.465528678)	(0.347218469919, 0.500216531283, 0.671551717122)	(-5.80317137399, 173.190427178, 56.6543004718)	(0.488705388529, 0.490322191373)	3.43	3		1461697924173890	1461697924573001			0.0
1461697842640013.0	(60.3591533665, -1.99658085554, 651.488481114)	(0.347167061311, 0.500306300073, 0.671628214518)	(98.362942446, 168.905197306, 54.9169244307)	(0.69144208339, 0.506270199828)	3.39	1	(60.3422223732, -1.98694615175, 651.488112418)	(0.347221850975, 0.500251641228, 0.671626993815)	(-4.70508019949, 172.70401809, 56.4570938992)	(0.490842584275, 0.492132422442)	3.42	3		1461697926287845	1461697926693325			0.0
1461697842648367.0	(60.3643258397, -1.99902820246, 651.457450382)	(0.347142822292, 0.500320669266, 0.671524861654)	(98.3712984412, 169.690391903, 55.2352686783)	(0.691458346518, 0.503348001851)	3.38	1	(60.3501973238, -1.98945549664, 651.456909104)	(0.347188471015, 0.500266325348, 0.671523030599)	(-5.00845941385, 173.437263682, 56.7543762766)	(0.490252122589, 0.489403559054)	3.41	3		1461697929177091	1461697929716939			0.0
1461697842656647.0	(60.3730103832, -2.00380611173, 651.471095949)	(0.347117954685, 0.500347556601, 0.67157023112)	(95.7665813411, 168.518050414, 54.7599620844)	(0.686388830948, 0.507711014463)	3.38	1	(59.2304951374, -1.95685738991, 638.73365754)	(0.347771869869, 0.500298806208, 0.629112141927)	(-10.3374553466, 166.185828976, 53.8144012232)	(0.479880390528, 0.516390662537)	3.35	3		1461697931613187	1461697932046821			1.0
1461697842664964.0	(60.374053917, -2.00470946218, 651.471376676)	(0.347114643289, 0.5003526851, 0.671571248372)	(96.0481672246, 168.626163739, 54.8037948555)	(0.686936876653, 0.507308657467)	3.37	1	(59.2036558374, -1.95756899733, 638.423649586)	(0.347784858876, 0.500308358176, 0.628078816732)	(-10.1208624725, 166.183156686, 53.813317787)	(0.48030194147, 0.516400607793)	3.34	3		1461697936965516	1461697937581128			0.0
1461697842673319.0	(60.3764653349, -2.00455248271, 651.480169093)	(0.347108926058, 0.500351616522, 0.671600545247)	(96.7086084643, 170.052878947, 55.3822330944)	(0.688222281947, 0.501998961865)	3.36	1	(59.198993924, -1.95716758129, 638.35436726)	(0.34778335007, 0.500307218101, 0.62784790039)	(-9.5009066118, 167.418678446, 54.3142397838)	(0.481508550775, 0.511802462055)	3.32	3		1461697940048725	1461697940453661			0.0
1461697842681681.0	(60.3815446951, -2.00312461568, 651.505680894)	(0.347098554299, 0.500343002128, 0.671685587565)	(97.5049343819, 167.30949995, 54.2699751565)	(0.689772157224, 0.512208783216)	3.36	1	(59.2320523152, -1.9565965658, 638.691705638)	(0.347756517163, 0.500297951459, 0.628972371419)	(-8.812540452, 165.114614946, 53.3800950957)	(0.482848305854, 0.520377316911)	3.33	3		1461697945204096	1461697945750984			0.0
1461697842690040.0	(60.386467442, -1.99993233118, 651.486189211)	(0.347077838379, 0.500325056666, 0.671620686849)	(97.880131551, 171.522009329, 55.9778678686)	(0.690502396946, 0.496531412992)	3.33	1	(59.1777675431, -1.9519163266, 638.012274155)	(0.347769944686, 0.500282550287, 0.626707560221)	(-8.49128465912, 168.536666487, 54.7675096656)	(0.483473560414, 0.507641732462)	3.30	3						
1461697842698300.0	(60.392689227, -1.99054529788, 651.522688186)	(0.347066312323, 0.500270903556, 0.67174235026)	(97.8617080148, 166.712635372, 54.0279862205)	(0.690466539538, 0.514430087933)	3.35	1	(59.2042868286, -1.94131510538, 638.261013258)	(0.347742968392, 0.500216518084, 0.627536621094)	(-8.7285251403, 164.162687276, 52.9941516629)	(0.483011823394, 0.523920032468)	3.32	3						
1461697842706623.0	(60.3917212622, -1.98309812986, 651.529549598)	(0.347071023318, 0.500228376799, 0.671765136719)	(97.6047348933, 168.100975346, 54.5908658512)	(0.689966397223, 0.509263210471)	3.36	1	(59.2504207616, -1.93513288818, 638.797090861)	(0.347721393051, 0.500171321762, 0.629323730469)	(-8.84087157145, 165.593940765, 53.5744298731)	(0.48279316549, 0.518593447098)	3.33	3						
